tweet_id,favorites,retweets,user_followers,date_time
892420643555336193,35566,7543,8853924,2017-08-01 16:23:56+00:00
892177421306343426,30755,5591,8853924,2017-08-01 00:17:27+00:00
891815181378084864,23125,3705,8853924,2017-07-31 00:18:03+00:00
891689557279858688,38878,7723,8853924,2017-07-30 15:58:51+00:00
891327558926688256,37135,8323,8853924,2017-07-29 16:00:24+00:00
891087950875897856,18731,2793,8853924,2017-07-29 00:08:17+00:00
890971913173991426,10877,1811,8853924,2017-07-28 16:27:12+00:00
890729181411237888,59970,16870,8853924,2017-07-28 00:22:40+00:00
890609185150312448,25753,3845,8853924,2017-07-27 16:25:51+00:00
890240255349198849,29400,6560,8853924,2017-07-26 15:59:51+00:00
890006608113172480,28330,6555,8853924,2017-07-26 00:31:25+00:00
889880896479866881,25759,4466,8853924,2017-07-25 16:11:53+00:00
889665388333682689,44320,8947,8853924,2017-07-25 01:55:32+00:00
889638837579907072,24937,4003,8853924,2017-07-25 00:10:02+00:00
889531135344209921,13994,2020,8853924,2017-07-24 17:02:04+00:00
889278841981685760,23267,4771,8853924,2017-07-24 00:19:32+00:00
888917238123831296,26865,4016,8853924,2017-07-23 00:22:39+00:00
888804989199671297,23569,3785,8853924,2017-07-22 16:56:37+00:00
888554962724278272,18205,3098,8853924,2017-07-22 00:23:06+00:00
888078434458587136,20106,3103,8853924,2017-07-20 16:49:33+00:00
887705289381826560,27957,4830,8853924,2017-07-19 16:06:48+00:00
887517139158093824,42814,10553,8853924,2017-07-19 03:39:09+00:00
887473957103951883,63396,16100,8853924,2017-07-19 00:47:34+00:00
887343217045368832,31085,9395,8853924,2017-07-18 16:08:03+00:00
887101392804085760,28292,5344,8853924,2017-07-18 00:07:08+00:00
886983233522544640,32184,6853,8853924,2017-07-17 16:17:36+00:00
886736880519319552,11049,2862,8853924,2017-07-16 23:58:41+00:00
886680336477933568,20776,4008,8853924,2017-07-16 20:14:00+00:00
886366144734445568,19508,2833,8853924,2017-07-15 23:25:31+00:00
886267009285017600,110,4,8853924,2017-07-15 16:51:35+00:00
886258384151887873,25848,5655,8853924,2017-07-15 16:17:19+00:00
886054160059072513,0,99,8853924,2017-07-15 02:45:48+00:00
885984800019947520,30073,6018,8853924,2017-07-14 22:10:11+00:00
885528943205470208,33172,5722,8853924,2017-07-13 15:58:47+00:00
885518971528720385,18899,3342,8853924,2017-07-13 15:19:09+00:00
885311592912609280,0,16547,8853924,2017-07-13 01:35:06+00:00
885167619883638784,20178,3906,8853924,2017-07-12 16:03:00+00:00
884925521741709313,71068,16143,8853924,2017-07-12 00:01:00+00:00
884876753390489601,25663,4989,8853924,2017-07-11 20:47:12+00:00
884562892145688576,22445,4207,8853924,2017-07-11 00:00:02+00:00
884441805382717440,24993,5095,8853924,2017-07-10 15:58:53+00:00
884247878851493888,66948,18174,8853924,2017-07-10 03:08:17+00:00
884162670584377345,18842,2678,8853924,2017-07-09 21:29:42+00:00
883838122936631299,20170,3065,8853924,2017-07-09 00:00:04+00:00
883482846933004288,42268,8843,8853924,2017-07-08 00:28:19+00:00
883360690899218434,20919,3306,8853924,2017-07-07 16:22:55+00:00
883117836046086144,34240,5957,8853924,2017-07-07 00:17:54+00:00
882992080364220416,22063,3480,8853924,2017-07-06 15:58:11+00:00
882762694511734784,26076,4373,8853924,2017-07-06 00:46:41+00:00
882627270321602560,25879,5439,8853924,2017-07-05 15:48:34+00:00
882268110199369728,41370,10357,8853924,2017-07-04 16:01:23+00:00
882045870035918850,27072,4358,8853924,2017-07-04 01:18:17+00:00
881906580714921986,22481,3046,8853924,2017-07-03 16:04:48+00:00
881666595344535552,46768,9555,8853924,2017-07-03 00:11:11+00:00
881633300179243008,115,7,8853924,2017-07-02 21:58:53+00:00
881536004380872706,45660,14327,8853924,2017-07-02 15:32:16+00:00
881268444196462592,21465,4737,8853924,2017-07-01 21:49:04+00:00
880935762899988482,15796,2505,8853924,2017-06-30 23:47:07+00:00
880872448815771648,19677,3435,8853924,2017-06-30 19:35:32+00:00
880465832366813184,26274,5558,8853924,2017-06-29 16:39:47+00:00
880221127280381952,24894,3729,8853924,2017-06-29 00:27:25+00:00
880095782870896641,25512,3891,8853924,2017-06-28 16:09:20+00:00
879862464715927552,20674,3122,8853924,2017-06-28 00:42:13+00:00
879674319642796034,292,10,8853924,2017-06-27 12:14:36+00:00
879492040517615616,21700,2856,8853924,2017-06-27 00:10:17+00:00
879415818425184262,97704,39920,8853924,2017-06-26 19:07:24+00:00
879376492567855104,15556,2807,8853924,2017-06-26 16:31:08+00:00
879130579576475649,0,6100,8853925,2017-06-26 00:13:58+00:00
879050749262655488,20826,4220,8853925,2017-06-25 18:56:45+00:00
879008229531029506,17578,2403,8853925,2017-06-25 16:07:47+00:00
878776093423087618,17900,3673,8853925,2017-06-25 00:45:22+00:00
878604707211726852,27812,6347,8853925,2017-06-24 13:24:20+00:00
878404777348136964,0,1150,8853925,2017-06-24 00:09:53+00:00
878316110768087041,0,5954,8853925,2017-06-23 18:17:33+00:00
878281511006478336,7142,1150,8853925,2017-06-23 16:00:04+00:00
878057613040115712,38906,6100,8853925,2017-06-23 01:10:23+00:00
